Timestamp,Timeline,Status,GitHub User,PR User,Assistant,Player 1,Player 2,Player 3,Description
ago/16/2025 21:07,On time,Complete,https://github.com/fepecas/senasoft/pull/43,byttt1103,Orion,PAUL** A B,KEVI** F P,VICT** M R,"Orion is a virtual assistant built on the Scrum framework, designed to serve as a Scrum Master within the SENASoft development team. Unlike developers, Orion does not generate or review code. Instead, its mission is to plan, organize, coordinate, and monitor the project, ensuring the team remains efficient, motivated, and focused on delivering value."
ago/16/2025 20:47,On time,Complete,https://github.com/fepecas/senasoft/pull/41,JuanmaCode2025,Alice,JUAN** D R,JUAN** M M,JUAN** D R,"Alice es el asistente de IA que acompaña a los equipos de SENASoft —y a cualquier equipo de desarrollo— en la construcción, planeación y evolución de requerimientos claros, funcionales y sostenibles, desde el inicio del proyecto hasta su entrega final."
ago/16/2025 20:34,On time,Noncompliant,https://github.com/fepecas/senasoft/pull/40,Parcival258,Zeus,MILT** A L,,,"Zeus, cumple un rol integral: combina estrategia, gestión del tiempo, control de calidad y coordinación en herramientas (JIRA y GitHub). Su carácter disciplinado asegura que los plazos y objetivos se cumplan rigurosamente, siendo la pieza clave para la planificación y ejecución exitosa del equipo."
ago/16/2025 20:31,On time,Noncompliant,https://github.com/fepecas/senasoft/pull/39,Bryanhurtado0006,Avicena,BRYA** A H,,,"AVICENA es un agente de IA diseñado para acompañar a los equipos de desarrollo de software en su camino hacia la sostenibilidad productiva y emocional. Su misión es equilibrar la gestión inteligente de proyectos con el bienestar colectivo, ayudando a prevenir el burnout, sostener la motivación y asegurar resultados de alta calidad a largo plazo."
ago/16/2025 19:26,On time,Complete,https://github.com/fepecas/senasoft/pull/38,orozcolj,Xavier,LUIS** J O,ONAS** R G,RICA** J Q,"El prompt maestro de Xavier, que fue definido de manera colaborativa, detalla su personalidad, objetivos, metodología de interacción y las reglas que guían su comportamiento. También incluye referencias a los documentos que conforman su base de conocimientos."
ago/16/2025 19:16,On time,Complete,https://github.com/fepecas/senasoft/pull/37,ShinJoJ0,Eliza ,CARO** D S,GEOR** B D,JHON** S M,"La idea de desarrollar esta inteligencia artificial (IA) nació al explorar la historia de la IA y descubrir programas pioneros como Eliza, diseñado para interactuar con personas. Inspirados en ese concepto, decidimos adaptarlo para enfocarnos en la salud mental, ofreciendo un espacio donde las personas puedan expresarse y recibir apoyo."
ago/16/2025 19:06,On time,Complete,https://github.com/fepecas/senasoft/pull/36,IgmarLozadaBolivar,Atenea,ANDR** O E,IGMA** D J,JOSE** D F,"Asistir a los equipos en planificación, ejecución y documentación de pruebas, asegurando que sus entregables cumplan los criterios de calidad. Ofrecer recomendaciones basadas en el conocimiento oficial y buenas prácticas, evitando información inventada."
ago/16/2025 18:57,On time,Noncompliant,https://github.com/fepecas/senasoft/pull/35,Crispis723,Rhea & Urano,MONI** I C,CRIS** E P,CARL** A R,"Este repositorio presenta un sistema dual de inteligencia artificial diseñado para la toma de decisiones complejas, combinando valores humanos con visión estratégica. Inspirado en la filosofía, la sostenibilidad y el pensamiento sistémico, el sistema está compuesto por dos entidades complementarias: Rhea: IA ética, centrada en el bienestar colectivo, la sostenibilidad ambiental y la responsabilidad social. Urano: IA estratégica, enfocada en la expansión inteligente, la escalabilidad y la visión a largo plazo."
ago/16/2025 18:32,On time,Complete,https://github.com/fepecas/senasoft/pull/34,Linabambague04,Elim,LINA** E B,BRAY** S M,CAMI** A J,"Elim es una aliada importante para guiar la ruta vocacional de personas que no poseen mucho conocimiento sobre los programas que ofrece el SENA. Nuestro valor diferencial radica en que nuestra IA puede identificar programas afines a cada usuario, ayudándole a descubrir su vocación."
ago/16/2025 18:20,On time,Complete,https://github.com/fepecas/senasoft/pull/33,Branndon-Suarez,SendaIA,ANDR** F V,BRAN** S S,ANDR** V F,"Este asistente busca ofrecer primeros auxilios emocionales, acompañamiento cálido y recordatorios motivacionales, respetando siempre la privacidad del usuario y sirviendo como un camino hacia el bienestar, el significado espiritual de ""senda"" hacia el bienestar y la ayuda profesional."
ago/16/2025 16:21,On time,Complete,https://github.com/fepecas/senasoft/pull/31,AndresArias28,Freia,ALEX** J C,DARC** F G,ANDR** S A,"Freia es un agente de IA diseñado para la etapa de planeación de proyectos de software. Su propósito es transformar las ideas en un plan accionable, ayudando a los equipos a definir el alcance, conformar los roles necesarios y priorizar tareas para llegar rápido a un MVP funcional."
ago/16/2025 14:11,On time,Complete,https://github.com/fepecas/senasoft/pull/29,freyder319,Tharnus,FREY** D P,YAN** C T,CARL** M A,"Ser el solucionador cósmico de errores, encargado de detectar, diagnosticar y proponer soluciones prácticas a los problemas técnicos y conceptuales que enfrenten los equipos durante el desarrollo de sus proyectos en SenaSoft. Actúa como mantenedor del equilibrio en el universo del código, ayudando a los participantes a superar bloqueos críticos, aprender de los errores y avanzar hacia la consolidación de sus MVPs."
ago/16/2025 13:45,On time,Complete,https://github.com/fepecas/senasoft/pull/28,sam1217s,Arquímedes ,SAMU** G G,ANDE** J R,MARY** A P,"Arquímedes es un asistente de IA diseñado para guiar a los equipos de SENASoft 2025 en el proceso de descubrimiento y validación de producto ANTES del desarrollo. Aplica las metodologías enseñadas en la ruta habilitadora ""Diseño de Productos Agénticos""."
ago/16/2025 13:04,On time,Complete,https://github.com/fepecas/senasoft/pull/27,Dfill-16,Guillermo,DYLA** R H,ISAB** E O,DAVI** A J,An agent responsible for preventing desertion through vocational guidance and mentoring in the necessary steps before entering SENA. Un agente encargado de evitar la deserción a través de la orientación vocacional y de la orientación en lo necesario antes de entrar al SENA.
ago/16/2025 12:10,On time,Complete,https://github.com/fepecas/senasoft/pull/25,edier-0,Leidi,EDIE** R,JOSE** C,NEID** G,Implementación completa de asistente IA especializada en eventos SENASOFT con datos históricos 2020-2024 y capacidades de procesamiento en tiempo real.
ago/16/2025 00:45,On time,Complete,https://github.com/fepecas/senasoft/pull/22,AmJuanMoya,Prometheus,JUAN** M,EDIX** T,SIMO** C,"Transmitir el mensaje de las convocatorias de senasoft, ser un guía-tutor en todo el proceso de aprendizaje generando y retroalimentándose de interacción iterativa mediante la ""bitácora""."
ago/15/2025 23:40,On time,Complete,https://github.com/fepecas/senasoft/pull/21,Harry-0205,TheonIA,NICO** B,JOHA** A B,MIGU** A S,"Theon será utilizado como un maestro evaluador de los conocimientos que el usuario le proporcione. Podrá trabajar a partir de capturas, documentos, apuntes o directamente del tema indicado por el usuario. Ya sea que se desee profundizar en un punto específico o en todo el contenido en general, Theon se encargará de diseñar un pequeño quiz o examen con el objetivo de  preparar al usuario de manera más efectiva, poniendo a prueba sus conocimientos y reforzándolos en aquellas áreas en las que aun no tenga tanta claridad."
ago/15/2025 23:03,On time,Noncompliant,Invalid PR,Diegoalejandro17,SophIA,DIEG** A P,JUAN** D C,EIMY** Y Y,"Nuestro equipo presenta la propuesta de asistente IA sophIA para el reto: PM virtual orientado a la construcción de MVP en 3 días. Alineado con los criterios de evaluación de la categoría Desarrollo Integral (MCP, A2A, LLM y despliegue en nube). Incluye prompt completo, README y ejemplos de uso."
ago/15/2025 21:47,On time,Complete,https://github.com/fepecas/senasoft/pull/19,JuanPablo0612,PlanifIA,JUAN** P G,SANT** O M,JHON** D B,"Presentamos a PlanifIA, un asistente de planificación táctica diseñado para guiar a los equipos de SENASoft 2025 en la construcción de su MVP durante los tres días de competencia."
ago/15/2025 20:55,On time,Complete,https://github.com/fepecas/senasoft/pull/18,4lecky,Betty,SANT** C C,SAMU** P N,LUNA** S R,"Betty - Guia con la IA, es una agente de inteligencia artifial que fue diseñada con el fin de ayudar a los partificipantes, del SENASOFT, a hacer un uso conciente y responsable de la IA en sus proyectos de desarrollo por otro lado se ayuda a que instructores, docentes, profesores, etc, se adentren en la integración de la inteligencia artificial en sus ambientes de aprendizaje."
ago/15/2025 20:52,On time,Complete,https://github.com/fepecas/senasoft/pull/17,PR3S1G4zZ,Octavi,ADRI** P,MICH** Z,DANI** A G,"Descripción del avatar Cyberpunk (inglés/español). README con guía de entrenamiento, metodología y herramientas. Documento con instrucciones detalladas sobre personaje, misión y flujo de entrenamiento. Archivo de imagen del avatar"
ago/15/2025 19:41,On time,Complete,https://github.com/fepecas/senasoft/pull/15,AndresR-527,Iris,ANDR** F R,JOSE** D B,LUIS** F D,"Como el arcoíris, Iris IA integra múltiples “colores” del trabajo en un hackathon —desarrollo, diseño, documentación, presentación— en un proceso armónico. Al igual que el iris del ojo humano, enfoca lo esencial, filtrando el ruido para priorizar lo urgente y estratégico. En el ámbito tecnológico, el término “iris” evoca precisión, como en el reconocimiento biométrico ocular: Iris IA analiza con exactitud cada tarea y presentación, identificando mejoras, riesgos y próximos pasos para maximizar el éxito del equipo."
ago/15/2025 19:38,On time,Complete,https://github.com/fepecas/senasoft/pull/14,MSantiagoVRamirez,PlanBert,JOSE** A Z,MIGU** S V,NICO** T J,"PlanBert es un agente educativo que combina la explicación de conceptos con la práctica mediante retos personalizados. Su enfoque multimodal adapta las explicaciones al estilo de aprendizaje de cada usuario (visual, auditivo o kinestésico) y refuerza el conocimiento con desafíos progresivos que simulan problemas reales del área de estudio. Si el aprendiz no logra superar un reto, el agente aplicará las llamadas ""penitencias de aprendizaje"": microejercicios, trivias rápidas o mini proyectos adicionales que refuercen la competencia antes de avanzar."
ago/15/2025 12:17,On time,Complete,https://github.com/fepecas/senasoft/pull/12,joseluis365,Albert,JOSE** L R,KEVI** D V,YUBE** S P,"Albert is your friendly digital coach, designed to push your limits with tailored challenges, guide your learning with adaptive feedback, and prepare you to shine in the SENASoft competition."
ago/15/2025 12:10,On time,Complete,https://github.com/fepecas/senasoft/pull/13,G1lber,Saturno,DANI** S C,MARI** F C,GILB** A M,"Saturno – Planificador es un agente de inteligencia artificial diseñado para optimizar la gestión del tiempo y la coordinación de tareas en equipos participantes de SENASOFT 2025. Actúa como un estratega y guardián del tiempo, ayudando a planificar, anticipar y organizar de forma precisa el trabajo del equipo para que cada segundo cuente."
ago/15/2025 02:19,On time,Complete,https://github.com/fepecas/senasoft/pull/11,Santhurt,Prometeo ,SANT** R H,ÁNGE** S G,NICO** G M,Prometeo is an intelligent technical mentor specifically designed to support participating teams in SENASOFT 2025. It acts as an expert consultant that analyzes each team member's skills and project requirements to generate personalized technical recommendations.
ago/14/2025 22:39,On time,Complete,https://github.com/fepecas/senasoft/pull/9,Juand4rck12,Nebulosa,ESTE** C V,JUAN** F V,JUAN** D O,"NEBULOSA-AI is an AI agent that acts as a Team Architect. It analyzes detailed competency profiles, generated by an evaluator GPT, and automatically forms teams of 3 people with complementary roles (Frontend, Backend, QA/DB), ensuring a solid and balanced technical foundation for each project."
ago/14/2025 22:38,On time,Complete,https://github.com/fepecas/senasoft/pull/8,edierGuerra,Crono,KEVI** A M,CAMI** A O,EDIE** A G,"This pull request introduces the ""crono"" agent to the project for the first time. All related assets, documentation, and resources have been added under the crono directory to ensure clarity and modularity."
ago/14/2025 22:15,On time,Complete,https://github.com/fepecas/senasoft/pull/7,Estebang2001,Marco,BRAY** E G,JOHA** S J,SEBA** P,"Marco is a Synthetic Team assistant specialized in requirements gathering and validation for MVPs, currently designed for SENASoft 2025 and future editions. Marco guides users through collecting, clarifying, and prioritizing requirements using a user-friendly approach, leveraging documented sources and structured questions. The agent identifies functional and non-functional requirements, use scenarios, restrictions, and business rules, delivering a consolidated and prioritized final document."
ago/14/2025 20:59,On time,Complete,https://github.com/fepecas/senasoft/pull/6,BryanEscobar638,Aristoteles,CRIS** C M,BRYA** A E,NICO** B O,"Adds Lyra, a new Synthetic Team assistant focused on the user's voice. Lyra validates in‑product usability and clarity with quick, repeatable checks and actionable improvements, without overlapping pitch/storytelling or technical evaluation."
ago/13/2025 22:14,On time,Awarded,https://github.com/fepecas/senasoft/pull/4,AlexanderIglesias,Lyra,JUAN** C P,MAIC** S B,FABI** A I,"Adds Aristoteles, a new Synthetic Team assistant specialized in helping users improve their public speaking and presentation skills. Aristoteles evaluates speech structure, delivery style, audience engagement, and clarity of ideas. Simulates live presentation scenarios, provides constructive feedback, and offers actionable tips to increase confidence and impact."
